"path","kind","group","expected_section_count","result","public_api","authority","authority_fingerprint","visible_body","section_completeness","faq","jsonld","canonical","robots_indexability","sitemap","llms","llms_full","api_no_timeout","authority_fingerprint_sha256","source_revision_sha256","blockers"
"/zh/personality/intj-a","profile","NT","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","5ad4a2433c92d4abef74f61305c2654d7d43fa32abe3c5f2099f1f82d7e4bd27","562a46b7e0d49a6e6456db44d99646301970fc7f6415dfe36f9d4756455254c5",""
"/zh/personality/intj-t","profile","NT","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","744bbfb74924c1ddd88b6e65f20120e6ef862ba5bcdab07c64446a7b863f805a","562a46b7e0d49a6e6456db44d99646301970fc7f6415dfe36f9d4756455254c5",""
"/zh/personality/intp-a","profile","NT","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","e8c066326afbe805e662f30f476d62fb50bcdcbe42ddd48aa714b665c5d2f849","f2876e52843c41fe06ce51c2a80dd69a0723bab5d49ea83d01307916bc46adfe",""
"/zh/personality/intp-t","profile","NT","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","207de5e903f636d8b82cd8b1431f142d9bf630f1af4540a4b20510475bb331bf","f2876e52843c41fe06ce51c2a80dd69a0723bab5d49ea83d01307916bc46adfe",""
"/zh/personality/entj-a","profile","NT","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","5c8b0ec7635e328b1705f6b97822399092d5ec73dc487276bc963a7148f8b3f8","62dc8a04167f1c4d909c988330e5373cc2b32778875362966832eb058e1fc348",""
"/zh/personality/entj-t","profile","NT","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","b9c573770b5cca60d37cecc76392fac1298aa3830b7e99b277f101dfcdd0c222","62dc8a04167f1c4d909c988330e5373cc2b32778875362966832eb058e1fc348",""
"/zh/personality/entp-a","profile","NT","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","d956461729e36f55b2b9ed2e1db1163b25bc2c51638d768df1db5d3456d70e41","902ef5f7d97a51a6e39a4f430886ec65261186d8c9780d4bc41fea65cba967a9",""
"/zh/personality/entp-t","profile","NT","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","3c82b70313421ff1251cb39f967dc5c1d80cc1c52a489dfdd1796dcd41cd597c","902ef5f7d97a51a6e39a4f430886ec65261186d8c9780d4bc41fea65cba967a9",""
"/zh/personality/infj-a","profile","NF","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","317db5197fee5176bfee70367e8d9d34ea23311d633778f73ab5e7d0bc2f603a","926732e9fdba7388fc7d1c2fbeedd3cc22cfeee7a60b73ad6be75652df2bf204",""
"/zh/personality/infj-t","profile","NF","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","425e95521f558f615c957b90b71baf3b8ed70abc32b468dfe9f7c3e409a1a119","926732e9fdba7388fc7d1c2fbeedd3cc22cfeee7a60b73ad6be75652df2bf204",""
